"Genes","Process_name","Significant_genes_count","Total_genes_group_count","Percent_significant_genes","P-value","Padj-value"
"Tnf;","GO:0000060~protein import into nucleus, translocation",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Plk3;","GO:0000082~G1/S transition of mitotic cell cycle",1,63,1.58730158730159,0.387653853695113,0.429527376867079
"Epas1; Nr1h3; Plk3; S100a1; Tnf;","GO:0000122~negative regulation of transcription from RNA polymerase II promoter",5,740,0.675675675675676,0.674933383570583,0.694476439144498
"Tnf;","GO:0000165~MAPK cascade",1,70,1.42857142857143,0.419687083418144,0.459393452146373
"Gadd45b; Tnf;","GO:0000185~activation of MAPKKK activity",2,8,25,0.00249734635926224,0.0752987765898767
"Gadd45b;","GO:0000186~activation of MAPKK activity",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Igf1; Tnf;","GO:0000187~activation of MAPK activity",2,77,2.5974025974026,0.121893712539269,0.200027189601556
"Plk3;","GO:0000302~response to reactive oxygen species",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Srsf12;","GO:0000381~regulation of alternative mRNA splicing, via spliceosome",1,37,2.7027027027027,0.252512336460656,0.312888885153615
"Lst1;","GO:0000902~cell morphogenesis",1,78,1.28205128205128,0.454261161973346,0.488637682338897
"Cln8;","GO:0001306~age-dependent response to oxidative stress",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Col1a1;","GO:0001501~skeletal system development",1,108,0.925925925925926,0.566630587296927,0.594723032025783
"Rsad2;","GO:0001503~ossification",1,91,1.0989010989011,0.506129102159233,0.539184643092545
"Ptgs1;","GO:0001516~prostaglandin biosynthetic process",1,16,6.25,0.122026637274517,0.200027189601556
"Epas1; Hmox1; Tnfrsf12a;","GO:0001525~angiogenesis",3,225,1.33333333333333,0.252224247081419,0.312888885153615
"Htra1; Igfbp4;","GO:0001558~regulation of cell growth",2,52,3.84615384615385,0.0638886606200961,0.150683519637438
"Col1a1;","GO:0001568~blood vessel development",1,71,1.40845070422535,0.424125172064296,0.462217465721768
"Gas2l1; Tppp3;","GO:0001578~microtubule bundle formation",2,28,7.14285714285714,0.0218516504577204,0.120766874434933
"Igf1; Col1a1;","GO:0001649~osteoblast differentiation",2,102,1.96078431372549,0.188158911232989,0.260025162051145
"Kalrn;","GO:0001662~behavioral fear response",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Epas1; Hmox1;","GO:0001666~response to hypoxia",2,113,1.76991150442478,0.218694357251011,0.287451632053839
"Polg2;","GO:0001701~in utero embryonic development",1,288,0.347222222222222,0.892052377271373,0.902024507505098
"Lrp5;","GO:0001702~gastrulation with mouth forming second",1,33,3.03030303030303,0.22924007906151,0.294694933677264
"Gas6;","GO:0001764~neuron migration",1,126,0.793650793650794,0.622674061346096,0.646723059540048
"Igf1; Tnf;","GO:0001775~cell activation",2,15,13.3333333333333,0.00728785128878573,0.120766874434933
"Fcgr3;","GO:0001788~antibody-dependent cellular cytotoxicity",1,4,25,0.0375428967404717,0.128368323906424
"Fcer1g; Fcgr3;","GO:0001798~positive regulation of type IIa hypersensitivity",2,8,25,0.00249734635926224,0.0752987765898767
"Fcer1g; Fcgr3;","GO:0001805~positive regulation of type III hypersensitivity",2,4,50,0.000849328239563185,0.0528175998978356
"Fcer1g; Fcgr3;","GO:0001812~positive regulation of type I hypersensitivity",2,8,25,0.00249734635926224,0.0752987765898767
"Tnf;","GO:0001819~positive regulation of cytokine production",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Fcgr3;","GO:0001820~serotonin secretion",1,4,25,0.0375428967404717,0.128368323906424
"Spic;","GO:0001824~blastocyst development",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Fcna;","GO:0001867~complement activation, lectin pathway",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
